name,id
"Spiny-cheeked Honeyeater (Acanthagenys rufogularis)","Acanthagenys_rufogularis"
"Inland Thornbill (Acanthiza apicalis)","Acanthiza_apicalis"
"Yellow-rumped Thornbill (Acanthiza chrysorrhoa)","Acanthiza_chrysorrhoa"
"Rumped Thornbill (Acanthiza chrysorrhoa)","Acanthiza_chrysorrhoa"
"Tasmanian Thornbill (Acanthiza ewingii)","Acanthiza_ewingii"
"Western Thornbill (Acanthiza inornata)","Acanthiza_inornata"
"Slender-billed Thornbill (Acanthiza iredalei)","Acanthiza_iredalei"
"Mountain Thornbill (Acanthiza katherina)","Acanthiza_katherina"
"Striated Thornbill (Acanthiza lineata)","Acanthiza_lineata"
"Yellow Thornbill (Acanthiza nana)","Acanthiza_nana"
"Brown Thornbill (Acanthiza pusilla)","Acanthiza_pusilla"
"Buff-rumped Thornbill (Acanthiza reguloides)","Acanthiza_reguloides"
"Slaty-backed Thornbill (Acanthiza robustirostris)","Acanthiza_robustirostris"
"Chestnut-rumped Thornbill (Acanthiza uropygialis)","Acanthiza_uropygialis"
"Western Spinebill (Acanthorhynchus superciliosus)","Acanthorhynchus_superciliosus"
"Eastern Spinebill (Acanthorhynchus tenuirostris)","Acanthorhynchus_tenuirostris"
"Spine-billed Honeyeater (Acanthorhynchus tenuirostris)","Acanthorhynchus_tenuirostris"
"Scrubtit (Acanthornis magna)","Acanthornis_magna"
"Collared Sparrowhawk (Accipiter cirrocephalus)","Accipiter_cirrocephalus"
"Brown Goshawk (Accipiter fasciatus)","Accipiter_fasciatus"
"Grey Goshawk (Accipiter novaehollandiae)","Accipiter_novaehollandiae"
"Indian Mynah (Acridotheres tristis)","Acridotheres_tristis"
"Indian Myna, Mynah (Acridotheres tristis)","Acridotheres_tristis"
"Mynah (Acridotheres tristis)","Acridotheres_tristis"
"Talking Myna (Acridotheres tristis)","Acridotheres_tristis"
"Calcutta Myna (Acridotheres tristis)","Acridotheres_tristis"
"Common Myna (Acridotheres tristis)","Acridotheres_tristis"
"German Indischer Mynah (Acridotheres tristis)","Acridotheres_tristis"
"House Myna (Acridotheres tristis)","Acridotheres_tristis"
"Indian Myna (Acridotheres tristis)","Acridotheres_tristis"
"Australian Reed-warbler (Acrocephalus australis)","Acrocephalus_australis"
"Australian Reed-Warbler (Acrocephalus australis)","Acrocephalus_australis"
"Australian Reed Warbler (Acrocephalus australis)","Acrocephalus_australis"
"Clamorous Reed Warbler (Acrocephalus stentoreus)","Acrocephalus_stentoreus"
"Clamorous Reed-warbler (Acrocephalus stentoreus)","Acrocephalus_stentoreus"
"Common Sandpiper (Actitis hypoleucos)","Actitis_hypoleucos"
"Australian Owlet-nightjar (Aegotheles cristatus)","Aegotheles_cristatus"
"Nightjar (Aegotheles cristatus)","Aegotheles_cristatus"
"Australian Swiftlet (Aerodramus terraereginae)","Aerodramus_terraereginae"
"Green Catbird (Ailuroedus crassirostris)","Ailuroedus_crassirostris"
"Spotted Catbird (Ailuroedus melanotis)","Ailuroedus_melanotis"
"Eurasian Skylark (Alauda arvensis)","Alauda_arvensis"
"Sky Lark (Alauda arvensis)","Alauda_arvensis"
"Skylark (Alauda arvensis)","Alauda_arvensis"
"Little Kingfisher (Alcedo pusilla)","Alcedo_pusilla"
"Australian Brush-turkey (Alectura lathami)","Alectura_lathami"
"Scrub Turkey (Alectura lathami)","Alectura_lathami"
"Wild Turkey (Alectura lathami)","Alectura_lathami"
"Yellow-wattled Brush Turkey (Alectura lathami)","Alectura_lathami"
"Australian Brushturkey (Alectura lathami)","Alectura_lathami"
"Australian Brush-turkey Population In The Nandewar And Brigalow Belt South Bioregions (Alectura lathami)","Alectura_lathami"
"Australian King-parrot (Alisterus scapularis)","Alisterus_scapularis"
"Australian King Parrot (Alisterus scapularis)","Alisterus_scapularis"
"King Parrot (Alisterus scapularis)","Alisterus_scapularis"
"Parrot (Alisterus scapularis)","Alisterus_scapularis"
"Blood Rosella, King Lory (Alisterus scapularis)","Alisterus_scapularis"
"White-browed Crake (Amaurornis cinerea)","Amaurornis_cinerea"
"Pale-vented Bush-hen (Amaurornis moluccana)","Amaurornis_moluccana"
"Bush-hen (Amaurornis moluccana)","Amaurornis_moluccana"
"Rufous-tailed Waterhen (Amaurornis moluccana)","Amaurornis_moluccana"
"Plain Bush-hen (Amaurornis olivacea)","Amaurornis_olivacea"
"Bush-hen (Amaurornis olivacea)","Amaurornis_olivacea"
"Golden Bowerbird (Amblyornis newtonianus)","Amblyornis_newtonianus"
"Kalkadoon Grasswren (Amytornis ballarae)","Amytornis_ballarae"
"Grey Grasswren (Amytornis barbatus)","Amytornis_barbatus"
"Carpentarian Grasswren (Amytornis dorotheae)","Amytornis_dorotheae"
"Red-winged Grasswren (Amytornis dorotheae)","Amytornis_dorotheae"
"Eyrean Grasswren (Amytornis goyderi)","Amytornis_goyderi"
"Black Grasswren (Amytornis housei)","Amytornis_housei"
"Short-tailed Grasswren (Amytornis merrotsyi)","Amytornis_merrotsyi"
"Thick-billed Grasswren (Amytornis modestus)","Amytornis_modestus"
"Dusky Grasswren (Amytornis purnelli)","Amytornis_purnelli"
"Striated Grasswren (Amytornis striatus)","Amytornis_striatus"
"Thick-billed Grasswren (Amytornis textilis)","Amytornis_textilis"
"Western Grasswren (Amytornis textilis)","Amytornis_textilis"
"White-throated Grasswren (Amytornis woodwardi)","Amytornis_woodwardi"
"Chestnut Teal (Anas castanea)","Anas_castanea"
"Black Teal (Anas castanea)","Anas_castanea"
"Brown Teal (Anas castanea)","Anas_castanea"
"Chestnut-breasted Teal (Anas castanea)","Anas_castanea"
"Green-headed Teal (Anas castanea)","Anas_castanea"
"Mountain Teal (Anas castanea)","Anas_castanea"
"Red Teal (Anas castanea)","Anas_castanea"
"Tete (Anas castanea)","Anas_castanea"
